"full_name","province_or_state","district_id","gender","career","type","election_date","year","exit_year","party_id","legislature_id","Lstart_date","Lend_date","other_names","country_id","institution_id"
"michel bissonnet","QC","jeannemance","m","law","election",1998-11-30,1998,"2008","PLQ",36,1998-11-30,2003-02-12,"bissonnet","CAN","QCASSNAT"
"michel bissonnet","QC","jeannemanceviger","m","law","election",2003-04-14,2003,"2008","PLQ",37,2003-04-14,2007-02-21,"bissonnet","CAN","QCASSNAT"
"michel bissonnet","QC","jeannemanceviger","m","law","election",2007-03-26,2007,"2008","PLQ",38,2007-03-26,2008-11-05,"bissonnet","CAN","QCASSNAT"
"jeannel blackburn","QC","chicoutimi","f","education","election",1994-09-12,1994,"1998","PQ",35,1994-09-12,1998-11-25,"blackburn","CAN","QCASSNAT"
"karl blackburn","QC","roberval","m","business","election",2003-04-14,2003,"2007","PLQ",37,2003-04-14,2007-02-21,"blackburn","CAN","QCASSNAT"
"francois blais","QC","charlesbourg","m","education","election",2014-04-07,2014,"2018","PLQ",41,2014-04-07,2018-08-23,NA,"CAN","QCASSNAT"
"marguerite blais","QC","sainthenrisainteanne","f","journalism","election",2007-03-26,2007,"NA","PLQ",38,2007-03-26,2008-11-05,"blais","CAN","QCASSNAT"
"marguerite blais","QC","sainthenrisainteanne","f","journalism","election",2008-12-08,2008,"NA","PLQ",39,2008-12-08,2012-08-01,"blais","CAN","QCASSNAT"
"marguerite blais","QC","sainthenrisainteanne","f","journalism","election",2012-09-04,2012,"NA","PLQ",40,2012-09-04,2014-03-05,"blais","CAN","QCASSNAT"
"marguerite blais","QC","sainthenrisainteanne","f","journalism","election",2014-04-07,2014,"NA","PLQ",41,2014-04-07,2018-08-23,"blais","CAN","QCASSNAT"
"marguerite blais","QC","prevost","f","journalism","election",2018-10-01,2018,"NA","CAQ",42,2018-10-01,2022-08-28,"mme blais","CAN","QCASSNAT"
"suzanne blais","QC","abitibiouest","f","business","election",2018-10-01,2018,"NA","CAQ",42,2018-10-01,2022-08-28,NA,"CAN","QCASSNAT"
"suzanne blais","QC","abitibiouest","f","business","election",2022-10-03,2022,"NA","CAQ",43,NA,NA,NA,"CAN","QCASSNAT"
"yves blais","QC","masson","m","business","election",1994-09-12,1994,"1998","PQ",35,1994-09-12,1998-11-25,"blais","CAN","QCASSNAT"
"manon blanchet","QC","cremazie","f","business","election",1998-11-30,1998,"2003","PQ",36,1998-11-30,2003-02-12,"blanchet","CAN","QCASSNAT"
"yvesfrancois blanchet","QC","drummond","m","business","election",2008-12-08,2008,"2014","PQ",39,2008-12-08,2012-08-01,"blanchet","CAN","QCASSNAT"
"yvesfrancois blanchet","QC","johnson","m","business","election",2012-09-04,2012,"2014","PQ",40,2012-09-04,2014-03-05,"blanchet","CAN","QCASSNAT"
"luc blanchette","QC","rouynnorandatemiscamingue","m","business","election",2014-04-07,2014,"2018","PLQ",41,2014-04-07,2018-08-23,"blanchette","CAN","QCASSNAT"
"andre boisclair","QC","gouin","m","business","election",1994-09-12,1994,"2004","PQ",35,1994-09-12,1998-11-25,"boisclair","CAN","QCASSNAT"
"andre boisclair","QC","gouin","m","business","election",1998-11-30,1998,"2004","PQ",36,1998-11-30,2003-02-12,"boisclair","CAN","QCASSNAT"
"andre boisclair","QC","gouin","m","business","election",2003-04-14,2003,"2004","PQ",37,2003-04-14,2007-02-21,"boisclair","CAN","QCASSNAT"
